t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,1873.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,1873.15,0.9705871,0.01041844,2.20474E-06,5.6943E-11,2.57168E-06,3.55335E-05,4.1868E-132
2.53E-08,1873.15,0.9705547,0.01039065,5.52227E-06,3.1687E-10,7.19313E-06,8.83443E-05,4.0476E-120
4.78E-08,1873.15,0.9705054,0.01034925,1.05502E-05,1.14542E-09,1.50571E-05,0.000166992,1.0054E-114
8.15E-08,1873.15,0.9704314,0.01028765,1.82081E-05,3.33308E-09,2.75949E-05,0.000283644,3.943E-113
1.32E-07,1873.15,0.9703209,0.01019613,2.99108E-05,8.55643E-09,4.69629E-05,0.000456448,2.1961E-108
2.07E-07,1873.15,0.9701565,0.01006057,4.79522E-05,2.11162E-08,7.66715E-05,0.000711405,8.0422E-104
3.18E-07,1873.15,0.9699131,0.009860748,7.61113E-05,5.14391E-08,0.000122452,0.001084728,7.3976E-100
4.85E-07,1873.15,0.9695541,0.009568649,0.000120886,1.25628E-07,0.000194124,0.001625276,5.50007E-97
7.34E-07,1873.15,0.9690274,0.009148071,0.000193906,3.11637E-07,0.000309263,0.002392878,3.93214E-94
1.10E-06,1873.15,0.9682614,0.008559255,0.000316645,7.95117E-07,0.000501084,0.003444971,6.20958E-91
1.66E-06,1873.15,0.9671604,0.00777627,0.000529085,2.10124E-06,0.000834667,0.004798538,1.08622E-87
2.48E-06,1873.15,0.9656018,0.006826386,0.000902564,5.74142E-06,0.001435478,0.006351041,1.77705E-84
3.72E-06,1873.15,0.9634272,0.005834365,0.001547836,1.59676E-05,0.002519808,0.007804293,4.01879E-80
5.55E-06,1873.15,0.9604118,0.004986392,0.002594985,4.37249E-05,0.004385265,0.008757463,6.46357E-75
8.29E-06,1873.15,0.9561999,0.00436725,0.004139505,0.000113685,0.007345751,0.009048879,1.47242E-70
1.24E-05,1873.15,0.9502412,0.003887722,0.006211088,0.000275075,0.01172914,0.008916585,8.30317E-66
1.85E-05,1873.15,0.9417275,0.003445897,0.008793297,0.000619054,0.01802584,0.008713433,9.27492E-61
2.76E-05,1873.15,0.9294228,0.003047099,0.0118404,0.0013067,0.02710208,0.008699031,1.56793E-55
4.12E-05,1873.15,0.9112782,0.002747958,0.01529022,0.002614752,0.04049977,0.00912635,3.70215E-49
6.14E-05,1873.15,0.8837597,0.002574061,0.0190931,0.005026561,0.06099091,0.010328788,1.04864E-41
9.16E-05,1873.15,0.8409418,0.002479735,0.02316791,0.009429188,0.09340333,0.012697497,7.0173E-34
0.000136721,1873.15,0.7742906,0.002344903,0.02709688,0.01743095,0.1450656,0.016450377,3.26475E-26
0.000203974,1873.15,0.6761391,0.002021251,0.02945646,0.03129236,0.2234321,0.021199749,6.71314E-20
0.000304304,1873.15,0.5489667,0.001483107,0.02784212,0.05206887,0.3283312,0.026019113,1.79913E-14
0.000453979,1873.15,0.4097275,0.000925912,0.021754,0.07685871,0.4468633,0.029914058,1.74952E-08
0.000677267,1873.15,0.2816299,0.000441731,0.01379112,0.09987663,0.5624696,0.029104899,0.006322326
0.001010373,1873.15,0.1916079,0.000203822,0.007292055,0.1147653,0.6514477,0.022949943,0.075978279
0.00150731,1873.15,0.126755,9.44722E-05,0.004260672,0.1244213,0.7166402,0.016790546,0.175714845
0.002248653,1873.15,0.08212306,4.25252E-05,0.002786525,0.1300772,0.7624131,0.01199434,0.262616941
0.003354606,1873.15,0.05267149,1.88545E-05,0.002107421,0.1326722,0.7933077,0.008964104,0.324581844
0.005004494,1873.15,0.0339294,8.4897E-06,0.001810346,0.133363,0.8136131,0.007205304,0.365905743
0.007465837,1873.15,0.02239015,4.0964E-06,0.001681776,0.1328678,0.8269154,0.006181999,0.394141919
0.011137731,1873.15,0.01555228,2.26902E-06,0.001619854,0.131478,0.835899,0.005552722,0.415307549
0.016615552,1873.15,0.01175771,1.51699E-06,0.001579245,0.129226,0.8424471,0.005124012,0.43364206
0.024787501,1873.15,0.009908013,1.21552E-06,0.001540208,0.1260045,0.8479093,0.004783122,0.452264495
0.036978617,1873.15,0.009185196,1.10066E-06,0.001493829,0.1216762,0.8533294,0.004458399,0.473555638
0.055165624,1873.15,0.008948978,1.05065E-06,0.001436161,0.1161849,0.8594557,0.004108112,0.499002872
0.08229745,1873.15,0.008818475,1.01049E-06,0.001366384,0.1096192,0.8665939,0.003723547,0.528842592
0.122773379,1873.15,0.008668252,9.6428E-07,0.001286081,0.1022145,0.8746177,0.00332117,0.562137808
0.183156369,1873.15,0.00848028,9.1109E-07,0.001198564,0.09432221,0.8831656,0.002926706,0.597267032
0.273237204,1873.15,0.008257488,8.53026E-07,0.001107815,0.08632079,0.8918309,0.002562237,0.632522079
0.40762202,1873.15,0.008007378,7.92702E-07,0.001017578,0.07853623,0.9002638,0.00224091,0.666489885
0.608100607,1873.15,0.007738768,7.32483E-07,0.000930687,0.07119183,0.9082252,0.001967227,0.698252151
0.907179514,1873.15,0.007459754,6.74121E-07,0.000848886,0.06440585,0.9155891,0.001739225,0.727367116
1.353352815,1873.15,0.007176615,6.18679E-07,0.00077298,0.05821406,0.9223179,0.001551647,0.753749936
2.018965163,1873.15,0.006893732,5.66678E-07,0.000703133,0.05260185,0.9284279,0.001398167,0.777522947
3.011942105,1873.15,0.006613769,5.18246E-07,0.000639111,0.04752639,0.9339655,0.001272662,0.798916533
4.49328963,1873.15,0.00633834,4.73316E-07,0.000580521,0.04293694,0.9389853,0.001169923,0.81818314
6.703200454,1873.15,0.006068075,4.31682E-07,0.000526866,0.03877905,0.9435461,0.001085344,0.835580866
10,1873.15,0.005803423,3.9314E-07,0.000477712,0.03500638,0.9476973,0.001015751,0.851326073
