t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,2573.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,2573.15,0.9674369,0.008600365,0.0006214,1.39133E-06,0.00090626,0.003524394,4.8076E-108
2.53E-08,2573.15,0.9629014,0.006436004,0.001359503,8.00029E-06,0.002442384,0.008000089,4.3427E-100
4.78E-08,2573.15,0.9569493,0.004174757,0.002149914,2.58451E-05,0.004538483,0.013375731,8.59742E-94
8.15E-08,2573.15,0.9493583,0.002193254,0.002890938,6.53546E-05,0.007271893,0.01950806,9.00771E-89
1.32E-07,2573.15,0.9394901,0.000858497,0.0035322,0.000143364,0.01095791,0.026386249,1.13488E-83
2.07E-07,2573.15,0.925825,0.000262115,0.004252455,0.000289084,0.01638125,0.034454547,4.40686E-79
3.18E-07,2573.15,0.9054278,0.000152884,0.00567593,0.000572406,0.02523007,0.04453993,1.34758E-74
4.85E-07,2573.15,0.8732536,0.000229925,0.009132144,0.00121804,0.04095276,0.057024811,2.91463E-69
7.34E-07,2573.15,0.8207955,0.00036067,0.01683125,0.00298378,0.0704093,0.07078829,1.43881E-63
1.10E-06,2573.15,0.7352748,0.000479479,0.03050735,0.008094149,0.1253277,0.083106992,3.6735E-57
1.66E-06,2573.15,0.6046044,0.000509718,0.04655929,0.02129507,0.2190258,0.091845342,3.45512E-48
2.48E-06,2573.15,0.4334024,0.000422478,0.05308889,0.04815392,0.3529888,0.097338612,1.8647E-39
3.72E-06,2573.15,0.2570709,0.000265741,0.04070701,0.08825801,0.5014253,0.099496229,8.40718E-32
5.55E-06,2573.15,0.1233799,0.000121226,0.01855475,0.1302704,0.6206463,0.095827024,2.98829E-26
8.29E-06,2573.15,0.05233448,4.04425E-05,0.005025736,0.1612708,0.685358,0.085714612,2.06969E-22
1.24E-05,2573.15,0.02454879,1.24055E-05,0.001322482,0.1816562,0.7098644,0.072764898,9.16874E-20
1.85E-05,2573.15,0.01367415,4.3502E-06,0.000483279,0.1949047,0.7190238,0.06227086,6.2848E-18
2.76E-05,2573.15,0.008301734,1.69074E-06,0.00023471,0.2027758,0.7235258,0.055622373,1.4091E-16
4.12E-05,2573.15,0.005232684,6.92594E-07,0.000146319,0.2074441,0.7261258,0.051571116,2.12701E-15
6.14E-05,2573.15,0.003371312,2.93738E-07,0.000112233,0.2103162,0.7277152,0.049041195,3.62954E-14
9.16E-05,2573.15,0.002206215,1.28399E-07,9.85249E-05,0.2121284,0.7287198,0.047425761,6.7936E-13
0.000136721,2573.15,0.001463377,5.8129E-08,9.28864E-05,0.2132884,0.7293695,0.046378874,1.21724E-11
0.000203974,2573.15,0.000986265,2.77593E-08,9.0553E-05,0.2140342,0.7297953,0.045695887,1.99865E-10
0.000304304,2573.15,0.000681545,1.44929E-08,8.95957E-05,0.2145094,0.7300742,0.045253289,2.87124E-09
0.000453979,2573.15,0.000492075,8.67343E-09,8.92112E-05,0.2148025,0.7302531,0.044974744,3.40579E-08
0.000677267,2573.15,0.000381984,6.15178E-09,8.90613E-05,0.214969,0.7303625,0.044811162,3.17429E-07
0.001010373,2573.15,0.00032672,5.12472E-09,8.90053E-05,0.2150473,0.7304238,0.044727909,2.22975E-06
0.00150731,2573.15,0.000305804,4.7777E-09,8.89858E-05,0.2150696,0.7304553,0.044695417,1.13963E-05
0.002248653,2573.15,0.000300953,4.70042E-09,8.89788E-05,0.2150649,0.730474,0.044686335,4.19071E-05
0.003354606,2573.15,0.000300394,4.69149E-09,8.89744E-05,0.2150511,0.7304911,0.044683574,0.000113012
0.005004494,2573.15,0.000300346,4.69061E-09,8.89694E-05,0.215033,0.7305119,0.044680882,0.000234702
0.007465837,2573.15,0.000300332,4.69022E-09,8.89626E-05,0.2150085,0.7305397,0.044677541,0.00040306
0.011137731,2573.15,0.000300319,4.68975E-09,8.8953E-05,0.2149734,0.7305798,0.044672475,0.000621409
0.016615552,2573.15,0.000300298,4.68905E-09,8.89386E-05,0.2149213,0.730639,0.044665281,0.000921719
0.024787501,2573.15,0.000300266,4.68798E-09,8.89173E-05,0.2148438,0.7307273,0.044654339,0.001361704
0.036978617,2573.15,0.000300219,4.6864E-09,8.88855E-05,0.2147284,0.7308586,0.044638229,0.00201574
0.055165624,2573.15,0.000300148,4.68404E-09,8.88382E-05,0.2145568,0.7310537,0.044614418,0.002987658
0.08229745,2573.15,0.000300042,4.68053E-09,8.87679E-05,0.2143022,0.7313434,0.044578853,0.004429696
0.122773379,2573.15,0.000299885,4.67533E-09,8.86636E-05,0.2139252,0.7317722,0.044526369,0.006563269
0.183156369,2573.15,0.000299653,4.66763E-09,8.85094E-05,0.2133689,0.7324044,0.044449462,0.009707569
0.273237204,2573.15,0.000299309,4.65628E-09,8.82824E-05,0.2125527,0.7333317,0.04433689,0.01431442
0.40762202,2573.15,0.000298802,4.63964E-09,8.79501E-05,0.2113641,0.7346805,0.04417456,0.021007561
0.608100607,2573.15,0.000298061,4.61545E-09,8.74679E-05,0.2096522,0.7366206,0.043943317,0.03061588
0.907179514,2573.15,0.000296986,4.58069E-09,8.6777E-05,0.2072243,0.7393666,0.043620956,0.044179208
1.353352815,2573.15,0.000295448,4.53154E-09,8.58038E-05,0.2038527,0.7431695,0.043183839,0.062892721
2.018965163,2573.15,0.000293285,4.46354E-09,8.44639E-05,0.1992978,0.7482881,0.042612466,0.08795266
3.011942105,2573.15,0.000290318,4.37213E-09,8.26724E-05,0.1933549,0.7549347,0.041899069,0.120277132
4.49328963,2573.15,0.000286376,4.25359E-09,8.03629E-05,0.1859201,0.7632004,0.041056535,0.160140423
6.703200454,2573.15,0.000281331,4.10605E-09,7.75048E-05,0.1770355,0.7730086,0.040119742,0.206969315
10,2573.15,0.000275144,3.93048E-09,7.41213E-05,0.1669171,0.7840906,0.03914204,0.25927643
