t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,2773.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,2773.15,0.9629391,0.006678786,0.0016591,9.35856E-06,0.00258347,0.007276445,4.7348E-103
2.53E-08,2773.15,0.9528725,0.00342623,0.003088081,4.84197E-05,0.006361597,0.015455622,4.56376E-95
4.78E-08,2773.15,0.9403299,0.001270677,0.004056473,0.000137871,0.01102527,0.024540359,1.94846E-88
8.15E-08,2773.15,0.9238456,0.0003062,0.004627978,0.000304729,0.01716136,0.035233663,2.50408E-83
1.32E-07,2773.15,0.9004137,8.1361E-05,0.005375641,0.000597422,0.02631773,0.048848966,1.11124E-78
2.07E-07,2773.15,0.8652925,0.00010596,0.007542726,0.00116516,0.04150738,0.066251314,2.77806E-73
3.18E-07,2773.15,0.8110413,0.000188721,0.0133812,0.002562603,0.06867948,0.086375376,1.38075E-67
4.85E-07,2773.15,0.7264432,0.000279389,0.02555825,0.0066451,0.1186525,0.105249441,1.01842E-61
7.34E-07,2773.15,0.6001308,0.00032025,0.04248454,0.01798274,0.2050898,0.11780621,5.64141E-54
1.10E-06,2773.15,0.4348045,0.000277099,0.05272617,0.04283287,0.3319303,0.122718031,1.95895E-45
1.66E-06,2773.15,0.2618732,0.000180446,0.04391406,0.08155344,0.4770828,0.122470614,9.60048E-38
2.48E-06,2773.15,0.1256635,8.6729E-05,0.02180777,0.1220196,0.5992765,0.119839991,6.08496E-32
3.72E-06,2773.15,0.04887276,2.9627E-05,0.005852192,0.1499642,0.6683822,0.116645561,1.10518E-27
5.55E-06,2773.15,0.01976067,8.51858E-06,0.001286812,0.1676261,0.6906133,0.110950952,1.16718E-24
8.29E-06,2773.15,0.01050226,3.00161E-06,0.00043032,0.181941,0.695744,0.10184581,1.87964E-22
1.24E-05,2773.15,0.006523458,1.25218E-06,0.000198079,0.1921387,0.6979517,0.093768521,9.89169E-21
1.85E-05,2773.15,0.004204979,5.41064E-07,0.000109252,0.1986492,0.699433,0.088254693,2.95779E-19
2.76E-05,2773.15,0.002739033,2.35554E-07,7.22634E-05,0.2027899,0.7003934,0.084701326,6.61632E-18
4.12E-05,2773.15,0.001798042,1.03502E-07,5.66171E-05,0.2054514,0.7010125,0.082406148,1.19118E-16
6.14E-05,2773.15,0.001188861,4.61046E-08,4.99422E-05,0.2071775,0.7014252,0.0809018,1.74995E-15
9.16E-05,2773.15,0.000792076,2.09933E-08,4.70845E-05,0.2083046,0.7017108,0.079900774,2.17107E-14
0.000136721,2773.15,0.000533141,9.94508E-09,4.58671E-05,0.2090422,0.7019133,0.079228596,2.36677E-13
0.000203974,2773.15,0.000365079,5.06249E-09,4.53565E-05,0.2095223,0.7020567,0.078778647,2.30524E-12
0.000304304,2773.15,0.000258083,2.90052E-09,4.51483E-05,0.2098287,0.7021551,0.078484183,1.99723E-11
0.000453979,2773.15,0.000193173,1.94956E-09,4.5067E-05,0.2100148,0.7022184,0.078301654,1.52654E-10
0.000677267,2773.15,0.000157661,1.54491E-09,4.50371E-05,0.2101165,0.7022544,0.078200517,1.02743E-09
0.001010373,2773.15,0.000141983,1.39229E-09,4.50271E-05,0.2101611,0.7022711,0.078155353,6.13067E-09
0.00150731,2773.15,0.000137293,1.34974E-09,4.50244E-05,0.2101739,0.7022768,0.078141677,3.27452E-08
0.002248653,2773.15,0.000136545,1.34308E-09,4.50238E-05,0.2101749,0.7022788,0.078139445,1.58841E-07
0.003354606,2773.15,0.000136505,1.34272E-09,4.50236E-05,0.2101731,0.702281,0.078139083,7.17938E-07
0.005004494,2773.15,0.000136503,1.3427E-09,4.50231E-05,0.2101701,0.7022843,0.078138778,2.84962E-06
0.007465837,2773.15,0.0001365,1.34266E-09,4.50224E-05,0.2101653,0.7022897,0.078138169,1.0255E-05
0.011137731,2773.15,0.000136497,1.34261E-09,4.50214E-05,0.2101578,0.7022981,0.078137256,3.21688E-05
0.016615552,2773.15,0.000136493,1.34256E-09,4.50197E-05,0.2101464,0.7023109,0.078135833,8.34861E-05
0.024787501,2773.15,0.000136488,1.34248E-09,4.50173E-05,0.2101296,0.7023298,0.078133699,0.000177298
0.036978617,2773.15,0.000136482,1.34237E-09,4.50138E-05,0.2101049,0.7023574,0.07813075,0.000321855
0.055165624,2773.15,0.000136473,1.34221E-09,4.50086E-05,0.2100684,0.7023983,0.078126275,0.000535276
0.08229745,2773.15,0.000136459,1.34197E-09,4.50009E-05,0.2100141,0.7024592,0.078119565,0.000852069
0.122773379,2773.15,0.000136438,1.34162E-09,4.49894E-05,0.2099331,0.7025499,0.078109702,0.001323895
